"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"Jet Airways","06/15/2019","Delhi","Cochin","DEL → BOM → COK","11:30 AM","07:00 PM","7h 30m","1 stop","In-flight meal not included",125
"Multiple carriers","03/21/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","01:35 AM","15h 35m","1 stop","No info",99
"Multiple carriers","03/27/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","09:00 PM","11h","1 stop","No info",84
"Multiple carriers","06/15/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","07:15 PM","9h 15m","1 stop","No info",197
"SpiceJet","03/18/2019","Kolkata","Banglore","CCU → BLR","05:15 PM","07:45 PM","2h 30m","non-stop","No check-in baggage included",54
"Jet Airways","06/01/2019","Delhi","Cochin","DEL → NAG → BOM → COK","02:35 PM","12:35 PM","22h","2 stops","In-flight meal not included",133
"IndiGo","05/09/2019","Kolkata","Banglore","CCU → BLR","09:25 PM","12:05 AM","2h 40m","non-stop","No info",59
"Jet Airways","06/06/2019","Kolkata","Banglore","CCU → DEL → BLR","08:25 PM","10:55 AM","14h 30m","1 stop","In-flight meal not included",129
"IndiGo","03/09/2019","Banglore","New Delhi","BLR → DEL","10:20 PM","01:10 AM","2h 50m","non-stop","No info",53
"Air India","06/06/2019","Banglore","Delhi","BLR → DEL","06:10 AM","08:55 AM","2h 45m","non-stop","No info",85
"Multiple carriers","05/27/2019","Delhi","Cochin","DEL → BOM → COK","01:00 PM","09:00 PM","8h","1 stop","No info",90
"IndiGo","05/09/2019","Banglore","Delhi","BLR → DEL","06:55 PM","09:50 PM","2h 55m","non-stop","No info",59
"IndiGo","03/21/2019","Kolkata","Banglore","CCU → BLR","02:20 PM","04:55 PM","2h 35m","non-stop","No info",63
"Jet Airways","06/01/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","07:00 PM","25h 30m","1 stop","In-flight meal not included",125
"Vistara","04/27/2019","Banglore","Delhi","BLR → DEL","05:00 PM","07:35 PM","2h 35m","non-stop","No info",68
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → BOM → COK","08:55 PM","04:25 AM","7h 30m","1 stop","In-flight meal not included",125
"IndiGo","05/03/2019","Mumbai","Hyderabad","BOM → HYD","09:10 AM","10:40 AM","1h 30m","non-stop","No info",70
"Vistara","05/21/2019","Chennai","Kolkata","MAA → CCU","07:05 AM","09:20 AM","2h 15m","non-stop","No info",45
"Jet Airways","06/03/2019","Mumbai","Hyderabad","BOM → HYD","07:35 PM","09:05 PM","1h 30m","non-stop","No info",69
"Multiple carriers","03/21/2019","Delhi","Cochin","DEL → BOM → COK","06:15 PM","01:35 AM","7h 20m","1 stop","No info",165
"Jet Airways","03/21/2019","Delhi","Cochin","DEL → BOM → COK","07:15 PM","06:50 PM","23h 35m","1 stop","No info",151
"Jet Airways","05/21/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","07:10 PM","9h 35m","1 stop","In-flight meal not included",151
"Jet Airways","04/09/2019","Delhi","Cochin","DEL → JAI → BOM → COK","05:30 AM","04:25 AM","22h 55m","2 stops","No info",133
"IndiGo","06/03/2019","Banglore","Delhi","BLR → DEL","04:55 PM","07:55 PM","3h","non-stop","No info",59
"IndiGo","06/12/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","09:00 PM","5h","1 stop","No info",74
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","07:00 PM","27h","1 stop","In-flight meal not included",157
"IndiGo","06/15/2019","Kolkata","Banglore","CCU → BLR","04:40 AM","07:15 AM","2h 35m","non-stop","No info",59
"Jet Airways","03/24/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","04:45 AM","20h 20m","1 stop","In-flight meal not included",122
"IndiGo","06/09/2019","Delhi","Cochin","DEL → HYD → COK","07:35 AM","10:30 PM","14h 55m","1 stop","No info",79
"Air India","05/21/2019","Delhi","Cochin","DEL → JAI → BOM → COK","12:00 PM","07:40 AM","19h 40m","2 stops","No info",118
"Vistara","06/09/2019","Kolkata","Banglore","CCU → DEL → BLR","05:00 PM","08:20 PM","27h 20m","1 stop","No info",105
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → BOM → COK","02:00 PM","07:00 PM","5h","1 stop","No info",179
"Air India","03/01/2019","Banglore","New Delhi","BLR → AMD → DEL","12:30 AM","11:55 PM","23h 25m","1 stop","1 Long layover",154
"Multiple carriers","05/09/2019","Delhi","Cochin","DEL → BOM → COK","04:55 AM","07:00 PM","14h 5m","1 stop","No info",111
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → BOM → COK","10:50 PM","04:25 AM","5h 35m","1 stop","In-flight meal not included",157
"SpiceJet","06/06/2019","Mumbai","Hyderabad","BOM → HYD","05:45 AM","07:15 AM","1h 30m","non-stop","No check-in baggage included",32
"Jet Airways","03/03/2019","Mumbai","Hyderabad","BOM → HYD","07:10 AM","08:35 AM","1h 25m","non-stop","No info",69
"Jet Airways","05/18/2019","Delhi","Cochin","DEL → BOM → COK","07:15 PM","12:35 PM","17h 20m","1 stop","In-flight meal not included",151
"SpiceJet","03/27/2019","Kolkata","Banglore","CCU → BLR","05:15 PM","07:45 PM","2h 30m","non-stop","No info",47
"Jet Airways","05/21/2019","Kolkata","Banglore","CCU → DEL → BLR","05:00 PM","06:00 PM","25h","1 stop","No info",173
"Jet Airways","03/06/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","04:25 AM","20h 25m","1 stop","In-flight meal not included",169
"Jet Airways","05/18/2019","Banglore","Delhi","BLR → DEL","03:15 PM","06:10 PM","2h 55m","non-stop","No info",88
"Jet Airways","06/18/2019","Mumbai","Hyderabad","BOM → HYD","02:55 AM","04:20 AM","1h 25m","non-stop","In-flight meal not included",61
"Jet Airways","06/06/2019","Delhi","Cochin","DEL → BOM → COK","08:55 PM","04:25 AM","7h 30m","1 stop","In-flight meal not included",125
"Jet Airways","05/09/2019","Delhi","Cochin","DEL → JAI → BOM → COK","05:30 AM","04:25 AM","22h 55m","2 stops","In-flight meal not included",159
"Jet Airways","03/09/2019","Delhi","Cochin","DEL → BOM → COK","07:15 PM","04:25 AM","9h 10m","1 stop","In-flight meal not included",171
"Jet Airways","03/01/2019","Banglore","New Delhi","BLR → BOM → DEL","04:55 PM","07:40 AM","14h 45m","1 stop","1 Long layover",328
"SpiceJet","04/01/2019","Kolkata","Banglore","CCU → BLR","05:10 PM","07:40 PM","2h 30m","non-stop","No check-in baggage included",47
"Air India","03/01/2019","Banglore","New Delhi","BLR → VGA → DEL","10:30 AM","10:55 PM","12h 25m","1 stop","No info",134
"Vistara","04/09/2019","Banglore","Delhi","BLR → DEL","11:30 AM","02:20 PM","2h 50m","non-stop","No info",66
"Multiple carriers","03/03/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","06:50 PM","10h 50m","1 stop","No info",187
"Air India","06/12/2019","Kolkata","Banglore","CCU → DEL → COK → BLR","08:30 PM","01:45 PM","17h 15m","2 stops","No info",149
"IndiGo","03/15/2019","Chennai","Kolkata","MAA → CCU","07:35 PM","09:55 PM","2h 20m","non-stop","No info",77
"SpiceJet","05/01/2019","Kolkata","Banglore","CCU → IXB → BLR","03:55 PM","09:25 PM","5h 30m","1 stop","No info",108
"Multiple carriers","06/01/2019","Delhi","Cochin","DEL → BOM → COK","02:00 PM","01:30 AM","11h 30m","1 stop","No info",163
"GoAir","03/09/2019","Banglore","New Delhi","BLR → DEL","08:55 PM","11:50 PM","2h 55m","non-stop","No info",70
"Air India","06/12/2019","Delhi","Cochin","DEL → BOM → COK","09:00 PM","07:40 AM","10h 40m","1 stop","No info",102
"IndiGo","05/27/2019","Delhi","Cochin","DEL → BOM → COK","06:40 AM","09:00 PM","14h 20m","1 stop","No info",80
"IndiGo","06/01/2019","Banglore","Delhi","BLR → DEL","04:55 PM","07:45 PM","2h 50m","non-stop","No info",59
"IndiGo","06/24/2019","Mumbai","Hyderabad","BOM → HYD","04:55 PM","06:25 PM","1h 30m","non-stop","No info",39
"Multiple carriers","05/06/2019","Delhi","Cochin","DEL → BOM → COK","09:00 AM","07:00 PM","10h","1 stop","No info",127
"IndiGo","04/18/2019","Banglore","Delhi","BLR → DEL","04:00 AM","06:50 AM","2h 50m","non-stop","No info",54
"Vistara","05/09/2019","Kolkata","Banglore","CCU → DEL → BLR","05:00 PM","08:20 PM","27h 20m","1 stop","No info",117
"Jet Airways","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","04:20 PM","23h 50m","1 stop","No info",155
"Jet Airways","06/06/2019","Kolkata","Banglore","CCU → BOM → BLR","02:05 PM","04:40 AM","14h 35m","1 stop","No info",159
"Jet Airways","05/09/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","10:05 AM","17h 35m","1 stop","In-flight meal not included",105
"GoAir","04/06/2019","Banglore","Delhi","BLR → DEL","08:55 PM","11:40 PM","2h 45m","non-stop","No info",42
"SpiceJet","06/03/2019","Kolkata","Banglore","CCU → BLR","05:10 PM","07:40 PM","2h 30m","non-stop","No info",47
"Air India","06/06/2019","Kolkata","Banglore","CCU → DEL → BLR","10:00 AM","08:25 PM","10h 25m","1 stop","No info",124
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → JAI → BOM → COK","07:30 PM","04:25 AM","8h 55m","2 stops","In-flight meal not included",159
"Jet Airways","05/15/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","10:35 PM","6h 5m","1 stop","In-flight meal not included",132
"Jet Airways","03/24/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","08:10 AM","13h 15m","1 stop","In-flight meal not included",136
"Vistara","06/12/2019","Kolkata","Banglore","CCU → DEL → BLR","08:20 PM","06:50 PM","22h 30m","1 stop","No info",105
"IndiGo","04/15/2019","Kolkata","Banglore","CCU → BLR","08:20 PM","10:55 PM","2h 35m","non-stop","No info",51
"Jet Airways","03/09/2019","Banglore","New Delhi","BLR → BOM → DEL","08:00 AM","09:30 AM","25h 30m","1 stop","In-flight meal not included",135
"SpiceJet","06/18/2019","Banglore","Delhi","BLR → DEL","09:10 PM","12:05 AM","2h 55m","non-stop","No info",48
"Jet Airways","04/09/2019","Delhi","Cochin","DEL → BOM → COK","07:05 AM","07:00 PM","11h 55m","1 stop","No info",214
"SpiceJet","06/06/2019","Banglore","Delhi","BLR → DEL","05:55 AM","08:35 AM","2h 40m","non-stop","No check-in baggage included",44
"Air India","05/01/2019","Kolkata","Banglore","CCU → BOM → BLR","09:25 AM","07:55 AM","22h 30m","1 stop","No info",102
"Air India","03/03/2019","Kolkata","Banglore","CCU → BLR","02:15 PM","04:45 PM","2h 30m","non-stop","No info",169
"Multiple carriers","06/09/2019","Delhi","Cochin","DEL → IXU → BOM → COK","05:50 PM","01:30 AM","7h 40m","2 stops","No info",225
"Air Asia","04/27/2019","Kolkata","Banglore","CCU → BLR","07:55 PM","10:25 PM","2h 30m","non-stop","No info",54
"Vistara","05/01/2019","Kolkata","Banglore","CCU → DEL → BLR","08:20 PM","11:25 PM","27h 5m","1 stop","No info",99
"Multiple carriers","06/06/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","01:30 AM","8h","1 stop","No info",163
"Air India","05/21/2019","Delhi","Cochin","DEL → UDR → BOM → COK","01:20 PM","07:40 AM","18h 20m","2 stops","No info",165
"Multiple carriers","03/06/2019","Delhi","Cochin","DEL → BOM → COK","07:00 PM","01:35 AM","6h 35m","1 stop","No info",185
"Jet Airways","05/27/2019","Banglore","Delhi","BLR → DEL","11:10 AM","02:05 PM","2h 55m","non-stop","In-flight meal not included",49
"Multiple carriers","06/06/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","07:15 PM","11h 15m","1 stop","No info",181
"Jet Airways","03/18/2019","Banglore","New Delhi","BLR → BOM → DEL","10:50 PM","08:15 AM","9h 25m","1 stop","No info",165
"Air India","05/18/2019","Delhi","Cochin","DEL → HYD → MAA → COK","07:05 AM","09:25 AM","26h 20m","2 stops","No info",134
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → JAI → BOM → COK","09:40 AM","12:35 PM","26h 55m","2 stops","In-flight meal not included",159
"Jet Airways","05/12/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","09:20 AM","24h 55m","1 stop","In-flight meal not included",118
"Jet Airways","06/01/2019","Mumbai","Hyderabad","BOM → HYD","10:20 AM","11:50 AM","1h 30m","non-stop","In-flight meal not included",49
"Jet Airways","06/03/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","04:25 AM","10h 55m","1 stop","No info",179
"Air India","03/01/2019","Banglore","New Delhi","BLR → VGA → HYD → DEL","10:30 AM","09:25 PM","10h 55m","2 stops","No info",137
"Jet Airways","04/09/2019","Banglore","Delhi","BLR → DEL","06:00 AM","08:45 AM","2h 45m","non-stop","In-flight meal not included",55
"SpiceJet","06/15/2019","Kolkata","Banglore","CCU → BLR","09:00 AM","11:25 AM","2h 25m","non-stop","No info",47
"Multiple carriers","04/09/2019","Delhi","Cochin","DEL → BOM → COK","01:00 PM","09:00 PM","8h","1 stop","No info",153
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","07:10 PM","9h 35m","1 stop","No info",159
"Jet Airways","05/09/2019","Delhi","Cochin","DEL → AMD → BOM → COK","11:05 PM","04:25 AM","29h 20m","2 stops","No info",204
"Air India","03/15/2019","Banglore","New Delhi","BLR → BOM → DEL","06:45 AM","12:15 PM","5h 30m","1 stop","No info",106
"Jet Airways","06/03/2019","Delhi","Cochin","DEL → NAG → BOM → COK","02:35 PM","12:35 PM","22h","2 stops","No info",163
"SpiceJet","06/27/2019","Chennai","Kolkata","MAA → CCU","08:20 AM","10:35 AM","2h 15m","non-stop","No info",44
"Multiple carriers","05/18/2019","Delhi","Cochin","DEL → BOM → COK","12:50 PM","01:30 AM","12h 40m","1 stop","No info",94
"Air India","03/24/2019","Kolkata","Banglore","CCU → GAU → DEL → BLR","09:50 AM","11:15 PM","37h 25m","2 stops","No info",176
"Air India","05/15/2019","Delhi","Cochin","DEL → MAA → COK","09:45 AM","09:25 AM","23h 40m","1 stop","No info",91
"Jet Airways","05/09/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","06:15 PM","22h 15m","1 stop","No info",166
"Jet Airways","03/01/2019","Banglore","New Delhi","BLR → BOM → DEL","04:55 PM","10:25 AM","17h 30m","1 stop","1 Long layover",314
"Jet Airways","04/01/2019","Banglore","Delhi","BLR → DEL","05:45 PM","08:45 PM","3h","non-stop","In-flight meal not included",55
"Multiple carriers","05/21/2019","Delhi","Cochin","DEL → BOM → COK","09:15 AM","07:15 PM","10h","1 stop","No info",99
"Jet Airways","05/15/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","04:40 AM","12h 10m","1 stop","In-flight meal not included",132
"Jet Airways","03/21/2019","Delhi","Cochin","DEL → BOM → COK","07:15 PM","04:25 AM","9h 10m","1 stop","No info",153
"Jet Airways","05/09/2019","Delhi","Cochin","DEL → COK","11:00 AM","02:15 PM","3h 15m","non-stop","No info",117
"Jet Airways","03/12/2019","Banglore","New Delhi","BLR → BOM → DEL","09:25 PM","09:30 AM","12h 5m","1 stop","No info",169
"Jet Airways","05/18/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","07:10 PM","9h 35m","1 stop","In-flight meal not included",151
"Multiple carriers","05/21/2019","Delhi","Cochin","DEL → BOM → COK","04:55 AM","07:15 PM","14h 20m","1 stop","No info",92
"Air India","05/06/2019","Kolkata","Banglore","CCU → GAU → DEL → BLR","04:45 PM","12:00 PM","19h 15m","2 stops","No info",172
"Multiple carriers","03/09/2019","Delhi","Cochin","DEL → HYD → COK","07:05 AM","10:20 PM","15h 15m","1 stop","No info",84
"Multiple carriers","05/27/2019","Delhi","Cochin","DEL → HYD → COK","07:10 AM","10:30 PM","15h 20m","1 stop","No info",96
"Jet Airways","03/18/2019","Banglore","New Delhi","BLR → BOM → DEL","10:50 PM","08:20 PM","21h 30m","1 stop","In-flight meal not included",135
"IndiGo","04/27/2019","Kolkata","Banglore","CCU → BLR","02:25 PM","04:55 PM","2h 30m","non-stop","No info",59
"SpiceJet","06/15/2019","Chennai","Kolkata","MAA → CCU","09:45 AM","12:00 PM","2h 15m","non-stop","No info",44
"Air India","05/15/2019","Kolkata","Banglore","CCU → IXR → DEL → BLR","05:50 AM","04:15 PM","34h 25m","2 stops","No info",155
"IndiGo","05/15/2019","Mumbai","Hyderabad","BOM → HYD","08:05 PM","09:40 PM","1h 35m","non-stop","No info",27
"Air India","05/24/2019","Delhi","Cochin","DEL → BOM → COK","07:00 AM","07:15 PM","12h 15m","1 stop","No info",121
"Jet Airways","06/09/2019","Kolkata","Banglore","CCU → BOM → BLR","09:10 PM","09:20 AM","12h 10m","1 stop","In-flight meal not included",144
"Jet Airways","05/09/2019","Delhi","Cochin","DEL → BOM → COK","11:30 AM","04:25 AM","16h 55m","1 stop","In-flight meal not included",151
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → BOM → COK","08:55 PM","07:00 PM","22h 5m","1 stop","In-flight meal not included",157
"Air India","03/03/2019","Delhi","Cochin","DEL → BHO → BOM → COK","05:55 AM","07:40 AM","25h 45m","2 stops","No info",184
"Multiple carriers","05/18/2019","Delhi","Cochin","DEL → BOM → COK","11:40 AM","07:00 PM","7h 20m","1 stop","No info",128
"Air India","03/27/2019","Delhi","Cochin","DEL → HYD → BOM → COK","01:05 PM","07:40 AM","18h 35m","2 stops","No info",108
"Jet Airways","05/15/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","08:45 PM","12h 20m","1 stop","In-flight meal not included",132
"Air India","03/01/2019","Banglore","New Delhi","BLR → DEL","06:10 AM","08:55 AM","2h 45m","non-stop","No info",191
"Jet Airways","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","11:35 PM","15h 10m","1 stop","In-flight meal not included",86
"Jet Airways","06/09/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","07:50 PM","11h 25m","1 stop","In-flight meal not included",132
"Jet Airways","03/06/2019","Mumbai","Hyderabad","BOM → DEL → HYD","02:00 PM","04:50 PM","26h 50m","1 stop","No info",239
"Jet Airways","05/01/2019","Kolkata","Banglore","CCU → BOM → BLR","02:05 PM","08:15 AM","18h 10m","1 stop","No info",170
"IndiGo","03/21/2019","Delhi","Cochin","DEL → HYD → COK","08:35 AM","04:10 PM","7h 35m","1 stop","No info",83
"SpiceJet","04/27/2019","Kolkata","Banglore","CCU → BLR","09:00 AM","11:25 AM","2h 25m","non-stop","No check-in baggage included",47
"Jet Airways","03/18/2019","Banglore","New Delhi","BLR → BOM → DEL","11:40 AM","09:00 AM","21h 20m","1 stop","In-flight meal not included",135
"Air India","05/15/2019","Delhi","Cochin","DEL → AMD → BOM → COK","07:45 PM","07:15 PM","23h 30m","2 stops","No info",140
"IndiGo","04/09/2019","Banglore","Delhi","BLR → DEL","05:30 AM","08:20 AM","2h 50m","non-stop","No info",48
"Jet Airways","03/01/2019","Banglore","New Delhi","BLR → BOM → DEL","11:40 AM","07:40 AM","20h","1 stop","No info",272
"Vistara","06/09/2019","Banglore","Delhi","BLR → DEL","05:00 PM","07:35 PM","2h 35m","non-stop","No info",60
"Jet Airways","06/09/2019","Delhi","Cochin","DEL → BOM → COK","10:50 PM","04:25 AM","5h 35m","1 stop","No info",179
"Multiple carriers","06/24/2019","Delhi","Cochin","DEL → BOM → COK","06:40 AM","07:00 PM","12h 20m","1 stop","No info",133
"Air India","06/15/2019","Delhi","Cochin","DEL → AMD → BOM → COK","07:45 PM","07:15 PM","23h 30m","2 stops","No info",118
"Jet Airways","05/24/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","12:00 PM","16h","1 stop","No info",178
"Jet Airways","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","08:45 PM","25h 50m","1 stop","In-flight meal not included",86
"IndiGo","03/06/2019","Kolkata","Banglore","CCU → BLR","03:20 PM","05:55 PM","2h 35m","non-stop","No info",69
"Multiple carriers","05/15/2019","Delhi","Cochin","DEL → BOM → COK","02:00 PM","01:30 AM","11h 30m","1 stop","No info",167
"Vistara","04/01/2019","Delhi","Cochin","DEL → COK","02:40 PM","05:50 PM","3h 10m","non-stop","No info",59
"Air India","03/24/2019","Kolkata","Banglore","CCU → BBI → BOM → BLR","09:10 AM","09:50 PM","12h 40m","2 stops","No info",185
"GoAir","05/15/2019","Banglore","Delhi","BLR → DEL","07:45 AM","10:40 AM","2h 55m","non-stop","No info",42
"IndiGo","04/01/2019","Banglore","Delhi","BLR → DEL","06:05 AM","08:50 AM","2h 45m","non-stop","No info",48
"Jet Airways","05/18/2019","Delhi","Cochin","DEL → JAI → BOM → COK","09:40 AM","12:35 PM","26h 55m","2 stops","No info",185
"IndiGo","06/21/2019","Banglore","Delhi","BLR → DEL","12:25 AM","03:15 AM","2h 50m","non-stop","No info",42
"Air India","05/21/2019","Delhi","Cochin","DEL → BHO → BOM → COK","08:00 PM","07:15 PM","23h 15m","2 stops","No info",132
"IndiGo","04/21/2019","Delhi","Cochin","DEL → BLR → COK","05:10 AM","10:05 AM","4h 55m","1 stop","No info",86
"Air India","05/06/2019","Kolkata","Banglore","CCU → BOM → COK → BLR","09:25 AM","03:05 PM","29h 40m","2 stops","No info",141
"IndiGo","04/21/2019","Delhi","Cochin","DEL → HYD → COK","06:50 AM","12:10 PM","5h 20m","1 stop","No info",85
"Jet Airways","06/12/2019","Banglore","Delhi","BLR → DEL","05:45 PM","08:45 PM","3h","non-stop","In-flight meal not included",70
"Vistara","06/12/2019","Kolkata","Banglore","CCU → DEL → BLR","08:20 PM","10:40 PM","26h 20m","1 stop","No info",97
"Jet Airways","06/12/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","08:15 AM","13h 20m","1 stop","No info",159
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → AMD → BOM → COK","11:05 PM","12:35 PM","13h 30m","2 stops","No info",185
"SpiceJet","05/01/2019","Kolkata","Banglore","CCU → BLR","09:00 AM","11:25 AM","2h 25m","non-stop","No check-in baggage included",47
"IndiGo","06/24/2019","Kolkata","Banglore","CCU → BLR","08:20 PM","10:55 PM","2h 35m","non-stop","No info",59
"SpiceJet","04/12/2019","Banglore","Delhi","BLR → DEL","05:55 AM","08:35 AM","2h 40m","non-stop","No check-in baggage included",53
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → BOM → COK","09:50 PM","07:00 PM","21h 10m","1 stop","No info",196
"Jet Airways","03/18/2019","Banglore","New Delhi","BLR → BOM → DEL","10:50 PM","05:05 AM","6h 15m","1 stop","No info",669
"IndiGo","03/09/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","01:35 AM","8h 5m","1 stop","No info",151
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → DEL → BLR","05:00 PM","07:10 PM","26h 10m","1 stop","No info",159
"Jet Airways","03/12/2019","Banglore","New Delhi","BLR → BOM → DEL","06:55 PM","07:40 AM","12h 45m","1 stop","No info",169
"SpiceJet","05/21/2019","Banglore","Delhi","BLR → DEL","09:10 PM","12:05 AM","2h 55m","non-stop","No info",44
"Air India","03/12/2019","Mumbai","Hyderabad","BOM → JDH → JAI → DEL → HYD","09:40 AM","03:15 PM","29h 35m","3 stops","No info",223
"Vistara","04/01/2019","Banglore","Delhi","BLR → DEL","07:30 PM","10:15 PM","2h 45m","non-stop","No info",68
"Air India","03/06/2019","Delhi","Cochin","DEL → BLR → COK","06:10 AM","08:15 AM","26h 5m","1 stop","No info",135
"IndiGo","04/03/2019","Banglore","Delhi","BLR → DEL","06:05 AM","08:50 AM","2h 45m","non-stop","No info",50
"Multiple carriers","03/27/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","09:00 PM","13h","1 stop","No info",84
"Air India","03/03/2019","Banglore","New Delhi","BLR → DEL","05:00 PM","07:45 PM","2h 45m","non-stop","No info",238
"Air India","03/15/2019","Banglore","New Delhi","BLR → BOM → DEL","08:50 AM","11:15 PM","14h 25m","1 stop","No info",106
"IndiGo","05/01/2019","Kolkata","Banglore","CCU → BLR","04:40 AM","07:15 AM","2h 35m","non-stop","No info",59
"Multiple carriers","03/03/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","03:30 PM","7h 30m","1 stop","No info",184
"SpiceJet","04/21/2019","Kolkata","Banglore","CCU → BLR","05:10 PM","07:40 PM","2h 30m","non-stop","No check-in baggage included",59
"Multiple carriers","03/06/2019","Delhi","Cochin","DEL → GWL → IDR → BOM → COK","11:35 AM","09:00 PM","9h 25m","3 stops","No info",266
"Vistara","03/24/2019","Banglore","New Delhi","BLR → DEL","11:30 AM","02:10 PM","2h 40m","non-stop","No info",66
"Jet Airways","03/01/2019","Banglore","New Delhi","BLR → BOM → DEL","07:00 AM","04:10 PM","9h 10m","1 stop","No info",328
"GoAir","05/18/2019","Kolkata","Banglore","CCU → BOM → BLR","11:30 PM","07:45 AM","8h 15m","1 stop","No info",89
"Jet Airways","03/27/2019","Delhi","Cochin","DEL → MAA → BOM → COK","05:35 PM","04:25 AM","10h 50m","2 stops","In-flight meal not included",115
"Jet Airways","05/21/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","07:50 PM","11h 25m","1 stop","In-flight meal not included",132
"IndiGo","06/06/2019","Banglore","Delhi","BLR → DEL","06:55 PM","09:50 PM","2h 55m","non-stop","No info",61
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → AMD → BOM → COK","11:05 PM","04:25 AM","29h 20m","2 stops","No info",204
"Air India","04/09/2019","Delhi","Cochin","DEL → NAG → BOM → COK","05:55 AM","07:15 PM","37h 20m","2 stops","No info",94
"Jet Airways","06/03/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","04:25 AM","10h 55m","1 stop","In-flight meal not included",125
"Multiple carriers","06/24/2019","Delhi","Cochin","DEL → BOM → COK","12:50 PM","09:00 PM","8h 10m","1 stop","In-flight meal not included",73
"Air India","04/01/2019","Kolkata","Banglore","CCU → BOM → AMD → BLR","09:25 AM","05:25 AM","20h","2 stops","No info",149
"GoAir","05/01/2019","Banglore","Delhi","BLR → DEL","08:55 PM","11:40 PM","2h 45m","non-stop","No info",48
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → DEL → BLR","05:00 PM","10:05 PM","29h 5m","1 stop","No info",140
"Air India","05/18/2019","Kolkata","Banglore","CCU → JAI → DEL → BLR","08:20 AM","08:25 PM","12h 5m","2 stops","No info",153
"Jet Airways","06/06/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","06:15 PM","9h 50m","1 stop","In-flight meal not included",132
"SpiceJet","03/24/2019","Banglore","New Delhi","BLR → DEL","05:45 AM","08:35 AM","2h 50m","non-stop","No info",53
"Vistara","06/09/2019","Chennai","Kolkata","MAA → CCU","05:45 PM","08:05 PM","2h 20m","non-stop","No info",146
"SpiceJet","06/09/2019","Banglore","Delhi","BLR → DEL","09:30 AM","12:20 PM","2h 50m","non-stop","No info",54
"Jet Airways","03/03/2019","Delhi","Cochin","DEL → BOM → COK","07:15 PM","04:25 AM","9h 10m","1 stop","No info",210
"Vistara","04/01/2019","Kolkata","Banglore","CCU → DEL → BLR","07:10 AM","10:55 PM","15h 45m","1 stop","No info",101
"Jet Airways","03/06/2019","Delhi","Cochin","DEL → JAI → BOM → COK","05:30 AM","07:45 PM","38h 15m","2 stops","In-flight meal not included",194
"GoAir","05/27/2019","Banglore","Delhi","BLR → DEL","11:40 AM","02:30 PM","2h 50m","non-stop","No info",41
